date,tweet_id,text,year,contains_word,text_preprocessed,length
2015-09-02 20:47:46+00:00,6.39e+17,the feeling u get when u drop the remainder of ur Nars blush on the floor and it goes everywhere 😩💔,2015,False,the feeling u get when u drop the remainder of ur   on the floor and it goes everywhere 😩💔,19
2015-09-01 19:29:34+00:00,6.39e+17,"Best blush on the market is NARS Orgasm. Stuff it in her stocking this Christmas, fellas. 😉",2015,False,"Best  on the market is  Orgasm. Stuff it in her stocking this Christmas, fellas. 😉",15
2015-09-01 16:35:35+00:00,6.39e+17,OMG just found a NARS Orgasm Blush for 15€ at TKMaxx. First I was frustrated thar I didn't get Sushi but now I'm super happy. xD,2015,False,OMG just found a  Orgasm Blush for € at TKMaxx. First I was frustrated thar I didn't get Sushi but now I'm super happy. xD,25
2015-09-01 14:22:05+00:00,6.39e+17,I want a Nars blush palette.,2015,False,I want a   palette.,4
2015-09-01 12:19:10+00:00,6.39e+17,This girl having a little sooky fit cause her blush is called foreplay LOL best be staying away from that nars deep throat aye,2015,False,This girl having a little sooky fit cause her  is called foreplay LOL best be staying away from that  deep throat aye,22
2015-09-01 11:33:30+00:00,6.39e+17,@monalisamarie_ I feel you! the right blush is hard to find. Have you tried Orgasm by NARS?,2015,False,I feel you! the right  is hard to find. Have you tried Orgasm by ?,15
2015-08-31 18:16:13+00:00,6.38e+17,@Blogsdoitbetter ooh yes blush!! Rockateur or Nars Deuceur are my go to #bdib,2015,False,ooh yes !! Rockateur or  Deuceur are my go to bdib,11
2015-08-30 22:55:24+00:00,6.38e+17,@tszymczak more blush and brushes and nars lipstick,2015,False,more  and brushes and  lipstick,5
2015-08-30 21:55:10+00:00,6.38e+17,I just broke my NARS blush 😢😢😢 kill me,2015,False,I just broke my   😢😢😢 kill me,7
2015-08-30 19:30:26+00:00,6.38e+17,One of my coworkers gave me her barely used NARS blush yesterday because she had too many,2015,False,One of my coworkers gave me her barely used   yesterday because she had too many,15
2015-08-30 13:22:12+00:00,6.38e+17,Work doesn't deserve my Nars blush. It deserves my NYC blush from 6th grade. #HappySunday 😊,2015,False,Work doesn't deserve my  . It deserves my NYC  from th grade. HappySunday 😊,14
2015-08-29 22:08:59+00:00,6.38e+17,"To ppl who own NARS blushes, is the actual shade name at the back of the blush itself?",2015,False,"To ppl who own  es, is the actual shade name at the back of the  itself?",16
2015-08-29 22:07:15+00:00,6.38e+17,I really need a Nars or Too faced blush :/,2015,False,I really need a  or Too faced  :/,8
2015-08-29 17:48:19+00:00,6.38e+17,@Talesofpaleface hey lovely Kat! What shade is the Nars dual intensity blush? And how much are you selling it for? 😘,2015,False,hey lovely Kat! What shade is the  dual intensity ? And how much are you selling it for? 😘,19
2015-08-29 15:43:43+00:00,6.38e+17,It's like see through @KapurRadha: Orgasm blush by NARS is forever getting the side eye from me.,2015,False,It's like see through : Orgasm  by  is forever getting the side eye from me.,15
2015-08-29 03:51:50+00:00,6.37e+17,@feminismhoe I have one other nars highlight I got in a blush palette but it's horrible for anyone under an NC 25 skin tone and it's chunky,2015,False,I have one other  highlight I got in a  palette but it's horrible for anyone under an NC  skin tone and it's chunky,23
2015-08-28 20:15:31+00:00,6.37e+17,@tloatb90 u know I meant mac. Nars orgasm blush barry m purple duochrome dazzledust n mua matt powder #90'sHereToStay,2015,False,u know I meant mac.  orgasm  barry m purple duochrome dazzledust n mua matt powder 'sHereToStay,16
2015-08-28 14:20:19+00:00,6.37e+17,Can someone buy me the nars intensity blush please,2015,False,Can someone buy me the  intensity  please,7
2015-08-28 05:38:59+00:00,6.37e+17,@ReenaTheFlyOne umm it was blush from nars . I used tinted moisturizer from nars at first because j was afraid of foundation,2015,False,umm it was  from  . I used tinted moisturizer from  at first because j was afraid of foundation,18
2015-08-28 00:47:07+00:00,6.37e+17,"Enough of Urban Myer commercial, and ready to throw something at TV!!oh I know I'll throw my Nars blush at it!",2015,False,"Enough of Urban Myer commercial, and ready to throw something at TV!!oh I know I'll throw my   at it!",19
2015-08-27 22:18:38+00:00,6.37e+17,NARS has a blush called deep throat 😂,2015,False,has a  called deep throat 😂,6
2015-08-27 21:05:57+00:00,6.37e+17,@lipstickloubou @SleekMakeupIRL Same with the blush...exact for NARS !! for fraction the price #irishbeautyhour #Dolledupie,2015,False,Same with the ...exact for  !! for fraction the price irishbeautyhour Dolledupie,12
2015-08-27 11:21:27+00:00,6.37e+17,I just got sent a free Nars Orgasm blush with an order 🙈,2015,False,I just got sent a free  Orgasm  with an order 🙈,11
2015-08-27 00:58:34+00:00,6.37e+17,"How do I spend $26 on a NARS blush, but trip about spending $8 for a Revlon lipgloss? lol",2015,False,"How do I spend $ on a  , but trip about spending $ for a Revlon lipgloss? lol",18
2015-08-26 20:01:35+00:00,6.37e+17,I have anger issue with Nars blush at this moment.,2015,False,I have anger issue with   at this moment.,8
2015-08-26 13:22:38+00:00,6.37e+17,"@Fashiccountant thennnnn I'm obsessed w/ the Makeup Forever Mattifying primer, I love Lorac shadow palettes, Nars Orgasm Blush, &amp; all Tarte",2015,False,"thennnnn I'm obsessed w/ the Makeup Forever Mattifying primer, I love Lorac shadow palettes,  Orgasm Blush, & all Tarte",19
2015-08-25 17:07:45+00:00,6.36e+17,S.O.S. I can't find my NARS blush. I paid for that thing with my soul.,2015,False,S.O.S. I can't find my  . I paid for that thing with my soul.,14
2015-08-25 07:39:34+00:00,6.36e+17,Turn the other way...I know I don't need more NARS eyeshadow...perhaps a Too Faced Love Flush blush though? Nope! *gulp* #beautyaddict,2015,False,Turn the other way...I know I don't need more  eyeshadow...perhaps a Too Faced Love Flush  though? Nope! *gulp* beautyaddict,19
2015-08-25 05:08:44+00:00,6.36e+17,s/o to @tiffywiffy17 for giving me a new tarte and nars blush 😊,2015,False,s/o to  for giving me a new tarte and   😊,10
2015-08-23 07:29:06+00:00,6.35e+17,That nars bronze/blush highlighter.. Poppin!✨👌,2015,False,That  bronze/ highlighter.. Poppin!✨👌,4
2015-08-23 01:53:02+00:00,6.35e+17,@PrincessNaomys elf contouring blush in Fiji it's a dupe for nars Laguna it's so good I like the original better than the matte though,2015,False,elf contouring  in Fiji it's a dupe for  Laguna it's so good I like the original better than the matte though,21
2015-08-23 00:03:53+00:00,6.35e+17,@LCMarie19 help beauty guru! Pale white lady needs pretty blush for video making. Nars Fervor or Adoration?,2015,False,help beauty guru! Pale white lady needs pretty  for video making.  Fervor or Adoration?,14
2015-08-22 21:52:11+00:00,6.35e+17,I neeeed Nars duel-intensity blush😍😱,2015,False,I neeeed  duel-intensity 😍😱,4
2015-08-22 18:59:50+00:00,6.35e+17,Nars! My gosh...  orgasm blush!!! 😂😂😂 Mac collection is nice thou!,2015,False,! My gosh...  orgasm !!! 😂😂😂 Mac collection is nice thou!,11
2015-08-22 16:27:23+00:00,6.35e+17,Seduction will forever be my fave Nars blush 💖💖💖,2015,False,Seduction will forever be my fave   💖💖💖,7
2015-08-22 15:23:15+00:00,6.35e+17,"""Now for blush, we'll use Orgasm by NARS. Something my good-for-nothing ex never gave me"" #PassiveAggressiveBeautyGuru",2015,False,"""Now for , we'll use Orgasm by . Something my good-for-nothing ex never gave me"" PassiveAggressiveBeautyGuru",16
2015-08-21 17:57:28+00:00,6.35e+17,Nars - deep throat blush is my favorite color 😭 next to super orgasm . Lol,2015,False,- deep throat  is my favorite color 😭 next to super orgasm . Lol,14
2015-08-21 05:34:45+00:00,6.35e+17,Nars orgasm blush 🌸😚I love,2015,False,orgasm  🌸😚I love,3
